Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B3205,OLIFANTS RIVER CANAL NO 2 AT BOBBEJAANSKRANZ,Bridge,Bridge,11/4/2019,MR00547+,16.26,Matzikama,6.88,9.08,1,Simply supported,1/1/1999
B3206,OLIFANTS RIVER CANAL AT DORINGVLEI,Bridge,Bridge,11/8/2019,MR00547+,17.22,Matzikama,7,8.84,1,Simply supported,1/1/1999
B3207,OLIFANTS RIVER CANAL NO 1 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.77,Matzikama,7,8.94,1,Simply supported,1/1/1999
B3208,OLIFANTS RIVER CANAL NO 2 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.86,Matzikama,8.2,8.94,1,Simply supported,1/1/1999
B3209,OLIFANTS RIVER CANAL AT DIE KROON,Bridge,Bridge,11/6/2019,MR00547+,31.23,Matzikama,6.9,9.04,1,Simply supported,1/1/1999
B3210,OLIFANTS RIVER CANAL AT BAKLEIPLAAS,Bridge,Bridge,11/6/2019,MR00547+,33.24,Matzikama,8.2,8.94,1,Simply supported,1/1/1999
B3212A,OLIFANTS RIVER AT LUTZVILLE,Bridge,Bridge,11/6/2019,MR00547+,41.89,Matzikama,240,10.78,9,Simply supported,1/1/1985
B3213,KLEIN RIVER,Bridge,Bridge,11/7/2019,MR00548+,1.06,Matzikama,65.2,11,5,Simply supported,1/1/1962
B3242,BRIDGE OVER KLIPKRAAL STREAM,Bridge,Bridge,11/12/2019,MR00587,11.85,Beaufort West,10.8,8.9,1,,
B3243,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,MR00587,13.69,Beaufort West,38,8.5,2,Simply supported,1/1/1959
B3274,BRIDGE OVER BUFFELS RIVER,Bridge,Bridge,11/11/2019,MR00607,1.22,Beaufort West,32.8,4.4,5,Continous and simply supported,1/1/1936
B3403,BREEDE RIVER AT NEKKIES,Bridge,Bridge,11/7/2019,MR00298,2.79,Breede Vallei,528.9,8.8,41,Simply supported,1/1/1954
B3902,MALMESBURY NORTH INTERCHANGE,Bridge,Bridge,11/2/2005,TR01102,2.44,,56.65,12.35,4,Simply supported,1/1/1963
B3903,BRIDGE AT PAROW NORTH INTERCHANGE,Bridge,Bridge,11/19/2019,TR00901,11.45,City of Cape Town (LMB),59,12.1,4,Simply supported,
B3915,ROAD OVER RAIL NEAR BOTHA STATION,Bridge,Bridge,11/14/2019,MR00302+,17.13,Witzenberg,9.8,31.6,1,Simply supported,1/1/1964
B3916,ROAD OVER RAIL AT VLAKTEPLAAS,Bridge,Bridge,11/8/2019,TR08801+,14.97,Oudtshoorn,26.8,10.4,3,Continous and simply supported,
B3922,BRIDGE OVER DIPKARIVIER,Bridge,Bridge,12/11/2019,MR00270+,16.17,Swellendam,15.5,10,2,Simply supported,
B3929,BRIDGE OVER DE HOOP RIVER,Bridge,Bridge,2/1/2021,MR00401,3.27,George,9.7,11.3,1,Simply supported,1/1/1964
B3945,Klein River,Bridge,Bridge,11/6/2019,TR07301+,4.55,Prince Albert,34.4,10.65,5,Simply supported,1/1/1964
B3946,OLIFANTS RIVER (PMK LE ROUX BRIDGE),Bridge,Bridge,11/8/2019,TR08801+,15.61,Oudtshoorn,90.9,10.5,5,,
B3958,GROOT RIVER,Bridge,Bridge,11/8/2019,TR08801+,0.14,Oudtshoorn,29,10.36,3,Simply supported,
B3962,BRIDGE OVER SOUT KLOOF RIVIER,Bridge,Bridge,12/9/2019, MR00542+,55.17,Cederberg,38,9.8,4,Simply supported,1/1/1961
B3966,KLAPMUTS RIVER,Bridge,Bridge,12/3/2019,MR00213,14.76,Drakenstein,18.7,11.4,2,Simply supported,1/1/1963
B3968,RIETVLEI RIVER,Bridge,Bridge,11/7/2001,TR01105,19.28,,14.1,12.95,1,Simply supported,1/1/1963
B3970,SWARTDOORN RIVER,Bridge,Bridge,8/1/2005,TR01107,28.87,,49,12.95,5,Simply supported,1/1/1962
B3972,KRUISMANS RIVER AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.91,Bergrivier,37.8,10.6,2,Simply supported,1/1/1966
B3992,HOUW HOEK RIVER ,Bridge,Bridge,11/21/2019,DR01288+,0.77,Theewaterskloof,18.4,11.25,2,Simply supported,
B3993,BRIDGE OVER SOUTRIVIER,Bridge,Bridge,12/8/2019,DR01262+,18.63,Cape Agulhas,15.5,10.6,2,Simply supported,
B3999,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02217+,1.18,Matzikama,39.3,10.6,3,Simply supported,1/1/1964
B4001,Porterville River Bridge No. 2,Bridge,Bridge,11/20/2019,TR02303+,35.12,Bergrivier,9,18.6,1,Simply supported,1/1/1963
B4013,BRIDGE OVER MONTE VISTA INTERCHANGE,Bridge,Bridge,11/20/2019,TR00901,8.48,City of Cape Town (LMB),58.5,21.45,4,Simply supported,
B4016,ROAD OVER RAIL AT NUWEKLOOF,Bridge,Bridge,11/18/2019,TR02201+,1.46,Witzenberg,42.3,10.35,1,Simply supported,1/1/1966
B4021,BRIDGE OVER KORINGLANDSRIVIER,Bridge,Bridge,12/11/2019,YMR00283,3.28,Swellendam,8.8,14.6,1,Integral bridge,1/1/1960
B4029,Kapteinskraal River Bridge,Bridge,Bridge,11/18/2019,TR03305+,26.87,Prince Albert,24.8,13,3,Simply supported,1/1/1962
B4031,"BRIDGE OVER POORT RIVER
BRIDGE OVER POORT RIVER",Bridge,Bridge,2/1/2021,MR00401,5.37,George,30.9,10.6,3,Simply supported,1/1/1965
B4033,Traka River Bridge 1,Bridge,Bridge,11/18/2019,TR03305+,21.14,Prince Albert,65.3,12.76,5,Simply supported,1/1/1963
B4034 (5832),Modderdrift Stream,Bridge,Bridge,11/14/2019,TR03305+,22.62,Prince Albert,9.5,13,1,Simply supported,1/1/1990
B4035,Droekloof River Bridge No.6,Bridge,Bridge,11/18/2019,TR03305+,10.34,Prince Albert,16.5,12.96,2,Simply supported,1/1/1963
B4040,Traka River Bridge 2,Bridge,Bridge,11/18/2019,TR03305+,43.39,Prince Albert,40.7,13,6,Simply supported,1/1/1962
B4042,Groen River at Mamre Flats,Bridge,Bridge,11/7/2019,MR00224,18.25,Swartland,26.75,10.82,4,Simply supported,1/1/1963
B4048,Dassiedraai River Bridge,Bridge,Bridge,11/18/2019,TR03305+,22.78,Prince Albert,6.7,12.76,1,Simply supported,1/1/1963
B4084,KLEIN BERG RIVER,Bridge,Bridge,11/18/2019,TR02201+,2.71,Witzenberg,86.4,10.65,5,Simply supported,1/1/1963
B4087,EENKOKER RIVER,Bridge,Bridge,3/20/2002,TR01107,17.62,,9.9,12.95,1,Simply supported,1/1/1963
B4094,ROAD OVER RAIL NEAR GOUDA,Bridge,Bridge,11/20/2019,TR02303,0.97,Drakenstein,28,11.05,3,Simply supported,1/1/1966
B4100,ROAD OVER RAIL NEAR HERMON STATION,Bridge,Bridge,11/22/2019,MR00023,2.17,Drakenstein,16.3,37,1,Simply supported,
B4101,ROAD OVER RAIL NEAR ELGIN,Bridge,Bridge,11/27/2019,MR00279,34.43,Theewaterskloof,43.17,13.9,3,Simply supported,1/1/1972
B4102,"ROAD OVER RAIL AT MULDERSVLEI
",Bridge,Bridge,11/27/2019,MR00174,48.11,Stellenbosch,47,13.65,3,Simply supported,1/1/1969
B4105,BRIDGE OVER NOORDHOEK RIVER,Bridge,Bridge,11/11/2019, B4105,15.15,Cederberg,29.4,11.2,3,Simply supported,1/1/1964
B4110,TANQUA RIVER,Bridge,Bridge,11/5/2019,DR02250+,46.01,Witzenberg,76,8.2,6,Continuous,1/1/1965
B4112,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR04401,11.67,George,25.8,10.6,2,Simply supported,1/1/1964
B4113,BRIDGE AT OLD OAK INTERCHANGE,Bridge,Bridge,11/12/2019,TR00901,18.71,City of Cape Town (LMB),88.1,20,4,Continuous,1/1/2007
B4116,VOELVLEI IRRIGATION CANAL NO 4,Bridge,Bridge,11/20/2019,TR02303,0.83,Drakenstein,10.37,10.7,1,Simply supported,1/1/1963
B4126,VOELVLEI CANAL,Bridge,Bridge,11/20/2019,DR01455,0.26,Drakenstein,10,10.52,1,Simply supported,1/1/1964
B4129,Serpentine River,Bridge,Bridge,11/9/2019,MR00352,1.03,George,39.6,10.67,3,Simply supported,1/1/1968
B4131,BRIDGE OVER GAMKA RIVER,Bridge,Bridge,11/13/2019,TR03305,104.33,Beaufort West,49,12.6,5,Simply supported,1/1/1963
B4131A,BRIDGE OVER GAMKA RIVER TRIBUTARY  AT BEAUFORT WEST,Bridge,Bridge,11/13/2019,TR03305,104.86,Beaufort West,19.5,12.6,2,Simply supported,1/1/1963
B4134,WIEDOUWS RIVER,Bridge,Bridge,1/8/2002,TR01105,66.13,,25.8,12.95,2,Simply supported,1/1/1963
B4135,Charles Searle Brige over Great Brak River,Bridge,Bridge,11/7/2019,MR00348,2.35,Mossel Bay,129.6,10.2,12,Simply supported,1/1/1965
B4136,ROAD OVER RAIL AT HERMON,Bridge,Bridge,11/26/2019,TR02401,24.17,Drakenstein,45.5,13.6,3,Simply supported,1/1/1969
B4144,BRIDGE OVER DROE RIVER,Bridge,Bridge,11/14/2019,TR03305,107.92,Beaufort West,17.1,12.7,2,Simply supported,1/1/1964
B4145,BRIDGE OVER LOMBAARDKRAAL RIVER,Bridge,Bridge,11/13/2019,TR03305,95.75,Beaufort West,25.1,12.7,3,Simply supported,1/1/1964
B4146, Bridge over Welgersbos River at SV16.55,Bridge,Bridge,11/5/2019,TR07301+,16.55,Prince Albert,79.8,10.35,8,Simply supported,1/1/1966
B4148,DOORN RIVER BRIDGE,Bridge,Bridge,11/1/2019,DR01347+,11.84,Breede Vallei,40,10.6,2,Simply supported,1/1/1965
B4149,BRIDGE OVER RAIL AT WELTEVREDEN,Bridge,Bridge,11/14/2019,TR03305,108.5,Beaufort West,13.2,12.6,1,Simply supported,1/1/1968
B4151,Da Nova Interchange,Bridge,Bridge,11/5/2019,TR03301,6.96,Mossel Bay,28.25,12.8,3,Continuous with drop-in span,1/1/1963
B4152,ROAD OVER ROAD AT CLANWILLIAM,Bridge,Bridge,11/8/2001,TR01104,96.3,,33.6,13.55,3,Continuous,1/1/1964
B4155A,Platteklip River,Bridge,Bridge,11/18/2019,MR00224,1,Swartland,18.5,34.8,2,Continuous,
B4173,ROAD OVER RAIL AT POOLS STATION,Bridge,Bridge,6/26/2001,TR01104,14.81,,18.5,14.3,1,Simply supported,1/1/1968
B4179,Bridge over Klapmuts River,Bridge,Bridge,11/19/2019,MR00174,35.4,City of Cape Town (LMB),28.9,13.24,3,Simply supported,
B4180,JA LEEG RIVER,Bridge,Bridge,11/5/2019,MR00547+,55.43,Matzikama,26.55,9.3,4,Simply supported,1/1/1967
B4183,WILGE RIVER,Bridge,Bridge,11/22/2019,TR08801,46.18,George,20,10.2,2,Simply supported,1/1/1964
B4189,MALKOPS RIVER,Bridge,Bridge,11/19/2019,DR01459+,1.12,Witzenberg,57.5,10.8,4,Simply supported,1/1/1985
B4194,BRIDGE OVER DOLFKRAAL RIVER NO 1,Bridge,Bridge,11/14/2019,TR07301,33.91,Beaufort West,53,10.2,8,Simply supported,1/1/1965
B4196,SOETMELKSVLEI RIVER,Bridge,Bridge,11/11/2019,DR01303,16.45,Theewaterskloof,18.55,10.51,2,Simply supported,
B4214,"DWARS RIVER AT KYLEMORE
",Bridge,Bridge,11/19/2019,DR01079,0.24,Stellenbosch,17.2,10.7,1,Simply supported,1/1/1965
B4217,BRIDGE OVER DOLFKRAAL RIVER NO 2,Bridge,Bridge,11/14/2019,TR07301,33.65,Beaufort West,20,10.2,3,Simply supported,1/1/1965
B4218,BRIDGE OVER DOLFKRAAL RIVER NO 3,Bridge,Bridge,11/14/2019,TR07301,33.42,Beaufort West,26.6,10.2,4,Simply supported,1/1/1966
B4224,KNUY RIVER,Bridge,Bridge,11/20/2019,MR00356,1.18,Kannaland,64.5,11,5,Simply supported,1/1/1964
B4229,TROE-TROE RIVER,Bridge,Bridge,1/8/2002,TR01106,0.03,,58.5,13.1,2,Simply supported,1/1/1965
B4231,RHENOSTER RIVER,Bridge,Bridge,11/5/2019,DR02250+,68.36,Witzenberg,65,9.1,5,Simply supported,1/1/1968
B4241A,VARSCH RIVER NO 1,Bridge,Bridge,3/4/2002,TR01106,13.28,,20.1,13.1,4,Simply supported,1/1/1965
B4241B,VARSCH RIVER NO 2,Bridge,Bridge,7/10/2001,TR01106,13.42,,25.1,13.1,5,Simply supported,1/1/1965
B4246,BOSMANSDAM INTERCHANGE NO 1,Bridge,Bridge,11/21/2019,TR01101,1.27,City of Cape Town (LMB),64,12.75,4,Simply supported,
B4247,Refinery Interchange,Bridge,Bridge,11/21/2019,TR01101,4.16,City of Cape Town (LMB),59,13,4,Simply supported,
B4249,GROOT RIVER,Bridge,Bridge,11/22/2019,MR00356,34.4,Kannaland,99.8,10.64,5,Simply supported,1/1/1965
B4250,Ratel River Culvert,Bridge,Bridge,11/21/2019,DR01206+,6.32,Overstrand,33,9,6,Frame,
B4253,KLEIN SWARTBERG RIVER NO 1,Bridge,Bridge,11/28/2019,MR00309,16.59,Laingsburg,15.2,10.92,2,Simply supported,1/1/1965
B4253A,KLEIN SWARTBERG RIVER NO 2,Bridge,Bridge,11/28/2019,MR00309,16.51,Laingsburg,24.4,11.26,3,Simply supported,1/1/1965
B4255,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,DR01671+,3.88,Oudtshoorn,38.3,9.34,3,Simply supported,1/1/2000
B4256,ROAD OVER ROAD AT VANRHYNSDORP,Bridge,Bridge,8/14/2001,TR01106,0.17,,41.4,13.1,3,Simply supported,1/1/1966
B4258,SOUT RIVER,Bridge,Bridge,7/11/2001,TR01106,25.17,,164.9,13.1,6,Simply supported,1/1/1966
B4266,Bridge over Boesmans River at SV12.55,Bridge,Bridge,11/5/2019,TR07301+,12.55,Prince Albert,57.5,10.7,7,Simply supported,1/1/1967
B4268,BRIDGE OVER GATS RIVER,Bridge,Bridge,11/19/2019,TR06501,19.12,Hessequa,34.5,11.6,3,Continuous,1/1/1965
B4299,Brandwag River,Bridge,Bridge,11/7/2019,TR03301 ,6.96,Mossel Bay,78,10.9,4,Simply supported,1/1/1969
B4313,KROM RIVER AT ADDYS,Bridge,Bridge,11/21/2019,DR01152,24.2,,13,13.2,1,Simply supported,1/1/1967
B4315,ROAD OVER RAIL AT ROMANS RIVER,Bridge,Bridge,11/8/2019,MR00201+,8.65,Witzenberg,9.5,37,1,Simply supported,1/1/1968
B4328,Droekloof River No 5,Bridge,Bridge,11/18/2019,TR03305+,5.19,Prince Albert,20,12.96,2,Simply supported,1/1/1965
B4329,Droe Kloof River No. 4,Bridge,Bridge,11/14/2019,TR03305+,4.78,Prince Albert,54.2,12.96,5,Simply supported,1/1/1965
B4330,Droe Kloof River No 3,Bridge,Bridge,11/14/2019,TR03305+,4.37,Prince Albert,25.2,12.96,3,Simply supported,1/1/1965
B4331,Droe Kloof River No 2,Bridge,Bridge,11/14/2019,TR03305+,3.77,Prince Albert,25,12.96,3,Simply supported,1/1/1965
B4332,Droe Kloof River No 1,Bridge,Bridge,11/15/2019,TR03305+,3.51,Prince Albert,25,12.96,3,Simply supported,1/1/1965
B4334,BERG RIVIER,Bridge,Bridge,11/20/2019,MR00207,1.46,Drakenstein,105.2,13.2,4,Simply supported,1/1/1970
B4340,BONTEHEUWEL PEDESTRIAN OVERPASS,Bridge,Bridge,11/13/2019,TR00201,9.74,City of Cape Town (LMB),138,2.75,9,Continuous,
B4342,GAMKA RIVER,Bridge,Bridge,11/20/2019,TR03105,40.15,Kannaland,97,13.8,5,Simply supported,1/1/1969
B4376,OLIFANTS RIVER,Bridge,Bridge,11/6/2019,MR00358+,14.02,Oudtshoorn,237,10.66,16,Simply supported,
B4379,ROAD OVER RAIL AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.85,Bergrivier,8.92,10.84,1,Simply supported,1/1/1967
B4380,ROAD OVER RAIL NEAR TROE-TROE,Bridge,Bridge,11/8/2019,MR00548+,2.47,Matzikama,16.4,13.05,1,Simply supported,1/1/1973
B4388,BRIDGE OVER RAIL AT GRAAFWATER,Bridge,Bridge,11/11/2019,B4388,30.3,Cederberg,10.2,10.3,1,,1/1/1970
B4406,FIRGROVE INTERCHANGE,Bridge,Bridge,11/11/2019,TR00201,36.12,City of Cape Town (LMB),72.3,18.03,4,Continuous,
B4411,BRIDGE OVER CONSTANTIA MAIN ROAD - ALPHEN INTERCHANGE,Bridge,Bridge,11/21/2019,MR00106,15.81,City of Cape Town (LMB),47.1,31.1,4,Continuous,
B4413,KENDAL ROAD INTERCHANGE ON M3,Bridge,Bridge,11/21/2019,MR00106,17,City of Cape Town (LMB),55.4,15.55,4,Continuous,
B4417,Bridge over Tokai Road (M3),Bridge,Bridge,11/21/2019,MR00106,21.76,City of Cape Town (LMB),49.4,34.24,4,Continuous,
B4420,Little Brak River,Bridge,Bridge,11/7/2019,MR00344,4.83,Mossel Bay,73.15,6.32,3,Simply supported,1/1/1970
B4421B,"EERSTE RIVER
",Bridge,Bridge,11/13/2019,MR00027,33.78,Stellenbosch,22.5,24.12,1,Simply supported,1/1/1967
B4422A,KOOPMANS RIVER CULVERT,Bridge,Bridge,11/22/2019,TR02302,5.61,Drakenstein,19,16.8,2,Simply supported,1/1/1969
B4424,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02203+,0.56,Matzikama,39.1,10.5,3,Simply supported,1/1/1973
B4433,ROAD OVER RAIL AT ORCHARD,Bridge,Bridge,10/31/2019,DR01438+,6.48,Breede Vallei,35,11.2,4,Simply supported,1/1/1970
B4439,Bill Bezuidenhout Road over Road,Bridge,Bridge,11/20/2019,TR00901,17.4,City of Cape Town (LMB),65.4,25.5,4,Continuous,
B4456,PHILIPPI ROAD OVERPASS,Bridge,Bridge,11/13/2019,TR00201,16.69,City of Cape Town (LMB),6.5,39.8,1,Simply supported,
B4462,Rail Over Road at Picaltsdorp,Bridge,Bridge,11/18/2019,MR00349,0.35,George,54.9,13,3,Simply supported,1/1/1972
B4467,KRUIS RIVER NO 2,Bridge,Bridge,11/21/2019,MR00363,6.28,Kannaland,25.6,10.67,3,Simply supported,1/1/1964
B4468,GROBBELAARS RIVER,Bridge,Bridge,11/4/2019,DR01693+,0.29,Oudtshoorn,38.6,8.76,3,Simply supported,
B4469,BRIDGE OVER N1 (ZANDWYK STREET),Bridge,Bridge,11/27/2019,MR00214,0.28,,61.7,11.8,4,Simply supported,1/1/1967
B4492,BRIDGE OVER KARS RIVER TRIBUTARY,Bridge,Bridge,12/8/2019,DR01230+,0.95,Cape Agulhas,9.5,9,1,Simply supported,
B4493,Sand River ,Bridge,Bridge,11/15/2019,TR03304+,23.69,Prince Albert,25,11.3,3,Simply supported,1/1/1968
B4494,OLD CAPE ROAD OVERPASS,Bridge,Bridge,11/14/2019,TR03305,108.61,Beaufort West,6.08,12.4,1,Simply supported,1/1/1968
B4502,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/11/2019,MR00310,112.24,Cederberg,30,13.5,5,Simply supported,1/1/1977
B4502A,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,12/8/2019,MR00310,112.39,Cederberg,126.7,13.5,6,Simply supported,1/1/1977
B4513,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/13/2019,TR05501,2.4,Cederberg,163.6,9.5,10,Simply supported,1/1/1970
B4515,SWARTBERG RIVER,Bridge,Bridge,11/18/2019,MR00365,13.1,Kannaland,29.7,10.8,3,Simply supported,1/1/1967
B4523,BRAND RIVER,Bridge,Bridge,11/21/2019,TR08301,41.22,Kannaland,52.6,11.6,5,Simply supported,1/1/1977
B4543,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/8/2019,MR00265+,6,Cape Agulhas,38,10.5,3,Simply supported,1/1/1961
B4544A,KOMPANJIES RIVER,Bridge,Bridge,11/22/2019,MR00023,3.02,Drakenstein,29.4,13.1,3,Simply supported,1/1/1968
B4545A,"BERG RIVER (LOUW BRIDGE)
",Bridge,Bridge,12/5/2019,TR02401,22.92,Drakenstein,127,13.1,5,Simply supported,1/1/1969
B4596,DONKIES RIVER AT VERKEERDEVLEI,Bridge,Bridge,10/29/2019,TR02202+,70.28,Breede Vallei,20,11.3,2,Simply supported,1/1/1968
B4600A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/3/2019,DR01226+,21.1,Cape Agulhas,28,11,2,Simply supported,
B4601,POESJENELS RIVER,Bridge,Bridge,11/29/2019,DR01355,1.76,Langeberg,30,11,3,Simply supported,1/1/1971
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,55.5,12,4,Simply supported,
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,70,10.3,7,Simply supported,1/1/1968
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,58.8,10.3,6,Simply supported,1/1/1968
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,20.2,10.2,3,Simply supported,1/1/1969
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,70,10.2,3,Continuous,1/1/1969
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,36.5,10.3,5,Simply supported,1/1/1969
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,21.2,13.2,2,Simply supported,1/1/1979
B4617B,24 Rivers at Halfmanshof No. 7,Bridge,Bridge,11/20/2019,TR02303+,19.75,Bergrivier,23.8,13.3,2,Simply supported,1/1/1979
B4617C,24 Rivers at Halfmanshof No. 6,Bridge,Bridge,11/20/2019,TR02303+,19.84,Bergrivier,32.8,13.3,3,Simply supported,1/1/1979
B4617D,24 Rivers at Halfmanshof No. 5,Bridge,Bridge,11/20/2019,TR02303+,19.9,Bergrivier,24,13.3,2,Simply supported,1/1/1979
B4617E,24 Rivers at Halfmanshof No. 4,Bridge,Bridge,11/20/2019,TR02303+,20,Bergrivier,63.6,13.3,6,Simply supported,1/1/1979
B4617F,24 Rivers at Halfmanshof No. 3,Bridge,Bridge,11/20/2019,TR02303+,20.44,Bergrivier,40.8,13.3,3,Simply supported,1/1/1979
B4621,ROAD OVER RAIL AT VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,36.42,Langeberg,16.8,14.26,1,Simply supported,1/1/1969
B4641,ROAD OVER RAIL NEAR BOONTJIESKRAAL,Bridge,Bridge,1/1/2000,MR00276,1.67,Theewaterskloof,,,0,,
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,90,10.8,9,Simply supported,1/1/1970
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,42.6,12.4,3,Simply supported,1/1/1970
B4676,PROPOSED BRIDGE OVER BEESJES FONTEIN SPRUIT,Bridge,Bridge,1/1/2000,DR01171,13.49,Swartland,,,0,,
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,231,12.6,24,Simply supported,1/1/1970
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,222.8,13.12,9,Simply supported,
B4693,Klein Swart River,Bridge,Bridge,11/9/2019,MR00355,3.33,George,20,10.6,2,Simply supported,1/1/2000
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,29,13.4,2,Simply supported,1/1/1953
B4704,ROAD OVER RAIL AT BREERIVIER STATION,Bridge,Bridge,11/14/2019,DR01434+,0.51,Witzenberg,41.15,11.3,4,Simply supported,1/1/1972
B4706,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,11/5/2019,DR01673+,11.08,Oudtshoorn,112.4,11.32,7,Simply supported,
B4708,KRUIS RIVER NO 3,Bridge,Bridge,11/21/2019,MR00363,7.83,Kannaland,32.7,11.42,3,Simply supported,1/1/1969
B4718,BRIDGE AT WOETJIES KLOOF,Bridge,Bridge,2/1/2021,TR08801,65.17,George,19.4,11.5,2,Simply supported,1/1/1970
B4728,BRIDGE OVER GAMKA RIVER,Bridge,Bridge,11/13/2019,TR05801,5.8,Beaufort West,29.8,10.2,3,Simply supported,1/1/1970
B4735,SOUT RIVER,Bridge,Bridge,11/20/2019,TR02102+,0.04,Saldanha Bay,48.3,13.46,3,Simply supported,
B4736,ROAD OVER RAIL AT HOPEFIELD,Bridge,Bridge,11/20/2019,TR02101,53.22,Saldanha Bay,9.3,13.3,1,Simply supported,
B4737,SWARTBERG RIVER,Bridge,Bridge,11/20/2019,DR01702,7.64,Kannaland,28.5,9.7,3,Simply supported,1/1/1971
B4740,KARMENATJIES RIVER,Bridge,Bridge,11/19/2019,TR02101,43.84,Saldanha Bay,13.9,14.1,2,Simply supported,1/1/1949
B4742,SKAAP RIVER,Bridge,Bridge,11/7/2019,DR01452+,1.58,Witzenberg,36.9,11.8,3,Simply supported,1/1/1971
B4743,Road over Rail at Little Brak,Bridge,Bridge,11/7/2019,MR0345,0.73,Mossel Bay,36,12.1,3,Simply supported,1/1/1981
B4744,ROAD OVER RAIL AT GOEDEHOOP,Bridge,Bridge,11/15/2019,TR02102,24.96,Saldanha Bay,31.5,13.4,2,Simply supported,1/1/1971
B4747,BITOU RIVER,Bridge,Bridge,11/1/2019,MR00395,7.09,Bitou,39,11.4,3,Simply supported,1/1/1970
B4750,Road over road at Somerset West,Bridge,Bridge,11/11/2019,TR00201,40.29,City of Cape Town (LMB),26.6,27.89,1,Simply supported,
B4764,Uilenkraals,Bridge,Bridge,12/2/2019,MR00028+,7.06,Overstrand,91,12,7,Simply supported,1/1/1971
B4774,BUFFELS RIVER NO 1,Bridge,Bridge,11/22/2019,TR08303,24.72,Laingsburg,184.65,11.58,11,Simply supported,
B4775,WATERFALLS RIVER,Bridge,Bridge,11/15/2019,MR00313+,3.48,Witzenberg,51.4,11.6,4,Simply supported,1/1/1974
B4781,VETTE RIVER,Bridge,Bridge,11/18/2019,TR08301,9.08,Hessequa,64,11.6,4,Simply supported,
B4782,DOORNKLOOF RIVER NO 1,Bridge,Bridge,11/21/2019,TR08301,59.14,Kannaland,30,11.3,3,Simply supported,1/1/1972
B4786,Road over rail near Hopefield,Bridge,Bridge,11/18/2019,TR02101,7.17,Swartland,40.5,13.4,3,Simply supported,1/1/1971
B4794,THE DRAAIBERG BRIDGE,Bridge,Bridge,10/24/2019,MR00279+,8.02,Theewaterskloof,503,13.4,13,Continuous,
B4812,ROAD OVER RAIL NEAR VREDENDAL,Bridge,Bridge,1/1/2000,TR01601,,,,,0,,
B4813,ROAD OVER RAIL AT KLAWER,Bridge,Bridge,1/1/2000,MR00547,1.29,Matzikama,,,0,,
B4816,ROAD OVER RAIL NEAR KLAWER,Bridge,Bridge,1/1/2000,MR00548,15.8,Matzikama,,,0,,
B4817,RIETPOEL STREAM,Bridge,Bridge,11/12/2019,MR00267+,39.47,Theewaterskloof,16.8,11.7,2,Simply supported,1/1/1972
B4818,ROAD OVER RAIL AT RIETPOEL,Bridge,Bridge,11/12/2019,MR00267+,40.02,Theewaterskloof,32.2,11.6,3,Simply supported,
