Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B3046,PALMIET RIVER AT EIKENHOF,Bridge,Bridge,11/28/2019,MR00279,30.04,Theewaterskloof,6/30/2022,11/28/2019,2165534,3780574,4162253,40460,1956259,31880,12.8,10.2,4.18,,,,,,,,,,,,,1,0.53,47
B3049,SOUTPANS RIVER,Bridge,Bridge,10/30/2019,MR00282,13.96,Langeberg,6/30/2022,10/30/2019,1472874,1678814,1968590,42940,452776,31880,6.5,9.5,2.7,,,,,,,,,,,,,1,0.77,23
B3050,BRIDGE OVER DOORN RIVIER - HEIDELBERG,Bridge,Bridge,11/21/2019,MR00286+,0.92,Hessequa,6/30/2022,11/21/2019,2453522,5922857,7075447,121940,4499985,31880,27,8.22,2.8,,,,,,,,,,,,,1,0.36,84
B3052,COGMANSKLOOF RIVER,Bridge,Bridge,11/28/2019,MR00287,14.56,Langeberg,6/30/2022,11/28/2019,17834026,31724421,34226370,305950,16086392,31880,97.6,11,4.8,,,,,,,,,,,,,1,0.53,47
B3053A,BRIDGE OVER  KABOUSRIVIER AT SANDDRIFT,Bridge,Bridge,10/30/2019,MR00287,43.96,Langeberg,6/30/2022,10/30/2019,2223096,5221157,5344618,214050,2907472,31880,16.12,10.4,3.12,,,,,,,,,,,,,1,0.46,61
B3054,BREEDE RIVER,Bridge,Bridge,11/28/2019,MR0028,5.89,,6/30/2022,11/28/2019,4256655,7080402,8279236,131340,3891241,31880,53,4.9,2.07,,,,,,,,,,,,,1,0.53,47
B3056A,GROOT RIVER,Bridge,Bridge,11/28/2019,MR00289,4.89,Langeberg,6/30/2022,11/28/2019,943115,2600465,2786312,533630,1309567,31880,9.5,9.2,4,,,,,,,,,,,,,1,0.53,47
B3057,ROOIBRUG OVER BREEDE,Bridge,Bridge,11/28/2019,MR00289,0.35,Langeberg,6/30/2022,11/28/2019,6576448,23100714,24523050,1369020,16577584,31880,122.1,6.3,6.2,,,,,,,,,,,,,1,0.32,94
B3058,BOESMANS RIVER,Bridge,Bridge,11/28/2019,MR00289,10.4,Langeberg,6/30/2022,11/28/2019,2732547,6056307,6886080,435050,3718483,31880,20,10.8,2.9,,,,,,,,,,,,,1,0.46,60
B3059,ROAD OVER RAIL AT ROBERTSON,Bridge,Bridge,11/18/2019,MR00290,0.19,Langeberg,6/30/2022,11/18/2019,5011819,9204067,10600100,606234,4982047,31880,25,13.3,6.76,,,,,,,,,,,,,1,0.53,47
B3061,BREEDE RIVER (VICTORIA BRIDGE),Bridge,Bridge,11/18/2019,MR00290,2.2,Langeberg,6/30/2022,11/18/2019,8810980,20711124,27833790,5940930,13081880,31880,119.6,7.3,4.9,,,,,,,,,,,,,1,0.53,47
B3062,KEISERS RIVER,Bridge,Bridge,11/18/2019,MR00290,6.64,Langeberg,6/30/2022,11/18/2019,2960109,8247687,9946560,1495950,5490501,31880,39,8,4.6,,,,,,,,,,,,,1,0.45,63
B3063,HOEKS RIVER,Bridge,Bridge,11/17/2019,MR00290,18.32,Langeberg,6/30/2022,11/17/2019,2109555,4746346,5355840,729040,2517245,31880,16,10.5,3.96,,,,,,,,,,,,,1,0.53,47
B3064,BRIDGE OVER KOO RIVER,Bridge,Bridge,11/1/2019,MR00295,37.88,Langeberg,6/30/2022,11/1/2019,584590,4577789,5993440,2220340,3188510,31880,20,9.4,3.8,,,,,,,,,,,,,1,0.47,58
B3065,BRIDGE OVER KEISIES RIVER AT HARMONIE,Bridge,Bridge,11/1/2019,MR00295,54.39,Langeberg,6/30/2022,11/1/2019,633934,2467649,3161221,592620,1934667,31880,13.4,7.4,4.8,,,,,,,,,,,,,1,0.39,78
B3068,BADS RIVER,Bridge,Bridge,10/30/2019,MR00299+,9.77,Breede Vallei,6/30/2022,11/28/2019,1,1566919,2029162,1869300,466707,31880,6.7,9.5,5.8,,,,,,,,,,,,,1,0.77,23
B3069,ROAD OVER RAIL AT RABIE AVENUE,Bridge,Bridge,11/7/2019,MR00301,1.72,Breede Vallei,6/30/2022,11/7/2019,7471533,9259273,12903110,915490,4516088,31880,34.3,11.8,4.6,,,,,,,,,,,,,1,0.65,35
B3070,ROAD OVER RAIL AT PROTEA STREET,Bridge,Bridge,11/7/2019,B3070,5.77,Breede Vallei,6/30/2022,11/14/2019,9737883,15599406,20924760,306000,10880873,31880,53.8,12.2,5.1,,,,,,,,,,,,,1,0.48,55
B3071,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,MR00302,1.18,Breede Vallei,6/30/2022,10/31/2019,1666952,4251890,4842700,328240,2847507,31880,20.2,7.52,1.5,,,,,,,,,,,,,1,0.41,72
B3072A,JAN DU TOIT RIVER BRIDGE No.2,Bridge,Bridge,10/31/2019,MR00302,8.2,Breede Vallei,6/30/2022,10/31/2019,1726097,5262166,5361897,75500,3560300,31880,12.1,13.9,2.4,,,,,,,,,,,,,1,0.34,91
B3073,JAN DU TOIT RIVER BRIDGE NO 1,Bridge,Bridge,11/11/2019,MR00302+,8.68,Witzenberg,6/30/2022,11/11/2019,5538418,12793448,13485240,17500,7929322,31880,30,14.1,3.4,,,,,,,,,,,,,1,0.41,72
B3075,ROAD OVER RAIL AT DE DOORNS,Bridge,Bridge,10/30/2019,MR00303+,0.23,Breede Vallei,6/30/2022,10/30/2019,8768768,15816810,17803700,667196,8367740,31880,39.89,14,7.95,,,,,,,,,,,,,1,0.53,47
B3077,KLEINVLEI RIVER,Bridge,Bridge,11/12/2019,MR00310+,39.21,Witzenberg,6/30/2022,11/13/2019,2083140,5133852,5239159,33480,3122539,31880,19.8,8.3,3.2,,,,,,,,,,,,,1,0.4,74
B3078A,SKILPADRUG RIVER,Bridge,Bridge,11/19/2019,MR00312+,1.17,Witzenberg,6/30/2022,11/19/2019,2042030,4389779,4616447,63070,2511347,31880,14.1,10.27,1.83,,,,,,,,,,,,,1,0.46,61
B3079,MOULS RIVER,Bridge,Bridge,11/19/2019,MR00312+,7.27,Witzenberg,6/30/2022,11/19/2019,1104580,4419706,4686360,826200,2755580,31880,20,7.35,3.5,,,,,,,,,,,,,1,0.41,72
B3080,ANTJIESBOS RIVER,Bridge,Bridge,11/19/2019,MR00312+,8.81,Witzenberg,6/30/2022,11/19/2019,1206861,2785162,3010986,33665,1770460,31880,12.85,7.35,2.25,,,,,,,,,,,,,1,0.41,72
B3082,DOORN RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00316+,41.64,Witzenberg,6/30/2022,11/5/2019,1818539,4331546,4498906,35010,2645357,31880,19.6,7.2,2.05,,,,,,,,,,,,,1,0.41,72
B3087,Groot River Causeway,Bridge,Bridge Cellular,11/6/2019,MR00319+,75.76,Witzenberg,6/30/2022,11/6/2019,1901030,3947078,4308096,107620,2299446,25890,,,,,20.8,8,0,,,,,,,,,,0.47,61
B3089,GOUKOU RIVER,Bridge,Bridge,11/12/2019,MR00332,25.95,Hessequa,6/30/2022,11/12/2019,10496958,20534108,26626180,1005550,15123668,31880,96,8.7,6,,,,,,,,,,,,,1,0.43,67
B3091,VALS RIVER,Bridge,Bridge,11/11/2019,MR00337,11.12,Hessequa,6/30/2022,11/11/2019,2717748,6021946,8301552,934935,4648869,31880,31,8.4,4.3,,,,,,,,,,,,,1,0.44,65
B3093,GOURITZ RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,MR00342,67.94,Hessequa,6/30/2022,11/13/2019,2121805,5333858,7034896,917270,3995821,31880,51.8,4.26,1.7,,,,,,,,,,,,,1,0.43,67
B3098,Kaaimans River,Bridge,Bridge - Arch,11/9/2019,MR00355,6.53,George,6/30/2022,11/9/2019,1158990,5615546,6047325,219800,4668535,63750,18.6,5.1,,18.6,,,,,,,,,,,,1,0.23,118
B3099,Silver River,Bridge,Bridge - Arch,11/9/2019,MR00355,8.62,George,6/30/2022,11/9/2019,1169361,5863154,6165900,211800,4784739,63750,18.6,5.2,,18.6,,,,,,,,,,,,1,0.22,119
B3106,KAMMANASSIE RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00359+,10.23,Oudtshoorn,6/30/2022,11/5/2019,3733871,4338652,5018104,180250,1103983,31880,37.3,4.22,2.16,,,,,,,,,,,,,1,0.78,22
B3108,GROBBELAARS RIVER NO 1,Bridge,Bridge,11/4/2019,MR00369+,0.84,Oudtshoorn,6/30/2022,11/4/2019,6792326,11231836,12987780,91200,6104258,31880,39.4,10.34,4.89,,,,,,,,,,,,,1,0.53,47
B3109,GROBBELAARS RIVER NO 2,Bridge,Bridge,11/4/2019,MR00369+,1,Oudtshoorn,6/30/2022,11/4/2019,10570430,11258298,13677920,98350,3009143,31880,39.8,10.78,3.48,,,,,,,,,,,,,1,0.78,22
B3111,Gamka River Causeway,Bridge,Bridge,11/6/2019,MR00373,37.25,Prince Albert,6/30/2022,11/6/2019,23787645,40947416,56784660,1651880,31345131,31880,244,7.3,1.42,,,,,,,,,,,,,1,0.45,63
B3112,PIESANG RIVER (OTTO DU PLESIS BRIDGE),Bridge,Bridge,11/1/2019,MR00383,2.64,Bitou,6/30/2022,11/1/2019,4600669,10558834,11364580,581580,6182333,31880,32,11.14,3.35,,,,,,,,,,,,,1,0.46,61
B3125,KROMLAAGTE STREAM,Bridge,Bridge,11/22/2019,MR00404,0.5,George,6/30/2022,11/22/2019,1015345,2188243,2188243,0,1172898,31880,6.6,10.4,5.58,,,,,,,,,,,,,1,0.46,59
B3174,De Molen Stream Culvert,Bridge,Bridge,11/20/2019,MR00526+,7.52,Bergrivier,6/30/2022,11/20/2019,2487350,4327125,5437453,394500,2555603,31880,16.4,10.4,1.6,,,,,,,,,,,,,1,0.53,47
B3175,Bridge over Smits River,Bridge,Bridge,11/20/2019,MR00526+,9.2,Bergrivier,6/30/2022,11/20/2019,4860199,9813635,11073840,100880,6112758,31880,26,13.36,2.75,,,,,,,,,,,,,1,0.45,63
B3176,Bridge over Hans Byls River,Bridge,Bridge,11/20/2019,MR00526+,15.14,Bergrivier,6/30/2022,11/20/2019,2477410,5267832,6413236,395720,3540106,31880,19.8,10.16,1.9,,,,,,,,,,,,,1,0.45,63
B3179,Platkloof River Bridge,Bridge,Bridge,11/18/2019,MR00529+,9.63,Bergrivier,6/30/2022,11/18/2019,3399657,7082627,7873085,64500,4408928,31880,29.4,8.4,3.5,,,,,,,,,,,,,1,0.44,65
B3180,Boesmans River Bridge,Bridge,Bridge,11/18/2019,MR00529,21.18,Bergrivier,6/30/2022,11/18/2019,4797001,10290114,11438540,144450,6497093,31880,39,9.2,3,,,,,,,,,,,,,1,0.43,67
B3183,BERG RIVER AT KERSFONTEIN,Bridge,Bridge,11/18/2019,MR00530+,2.16,Bergrivier,6/30/2022,11/18/2019,1618195,4961618,5748602,290340,3840066,31880,39.2,4.6,0,,,,,,,,,,,,,1,0.33,92
B3184,Waboom River Bridge,Bridge,Bridge,11/19/2019,MR00531+,21.01,Bergrivier,6/30/2022,11/19/2019,3059399,6620369,7115616,43010,4013207,31880,30,7.44,2.45,,,,,,,,,,,,,1,0.44,66
B3185,Kruismans River at Welbedag,Bridge,Bridge,11/19/2019,MR00531+,44.22,Bergrivier,6/30/2022,11/19/2019,5359884,11883632,13497990,255280,7882828,31880,58,7.3,2.56,,,,,,,,,,,,,1,0.42,71
B3188,Verlorenvlei River at Redelinghuys,Bridge,Bridge,11/19/2019,MR00534+,45.32,Bergrivier,6/30/2022,11/19/2019,3399216,7524246,7772982,83080,4290686,31880,29.2,8.35,3.1,,,,,,,,,,,,,1,0.45,63
B3190,KRUISMANS RIVER NEAR HET KRUIS,Bridge,Bridge,11/19/2019,MR00538+,85.85,Bergrivier,6/30/2022,11/19/2019,7367369,16388870,16388870,40400,8981101,31880,50.4,10.2,3.4,,,,,,,,,,,,,1,0.45,62
B3191,BRIDGE OVER OLIFANTS RIVER CAUSEWAY NO1,Bridge,Bridge Cellular,12/7/2019,MR00539,1.27,Cederberg,6/30/2022,11/12/2019,1896001,3860703,4405184,119370,2389812,25890,,,,,41.5,4.1,0,,,,,,,,,,0.46,62
B3191A,BRIDGE OVER OLIFANTS RIVER CAUSEWAY NO2,Bridge,Bridge Cellular,11/12/2019,MR00539,1.47,Cederberg,6/30/2022,11/12/2019,2111441,4551157,4753663,63360,2578862,25890,,,,,43,4.27,0,,,,,,,,,,0.46,62
B3192,BRIDGE OVER BOONTJIES RIVER,Bridge,Bridge,12/7/2019,MR00539,25.92,Cederberg,6/30/2022,11/12/2019,7612142,14353759,16870900,148470,9110284,31880,58.8,9,2.97,,,,,,,,,,,,,1,0.46,60
B3193,BRIDGE OVER JAN DISSELS RIVER,Bridge,Bridge,11/13/2019,MR00542,0.33,Cederberg,6/30/2022,11/13/2019,9325995,20327381,22293680,572400,12395289,31880,66.6,10.5,3.63,,,,,,,,,,,,,1,0.44,64
B3196,BRIDGE OVER DORINGSRIVIER,Bridge,Bridge - Arch,12/12/2019,MR00542+,56.97,Cederberg,6/30/2022,11/13/2019,11756591,21020976,23715000,812360,11146049,63750,93,4,,8,,,,,,,,,,,,1,0.53,47
B3199A,Olifants River causeway at Vlermuisklip,Bridge,Bridge Cellular,11/5/2019,MR00546+,51.43,Matzikama,6/30/2022,11/5/2019,6499639,8634884,12975030,344690,6130703,25890,,,,,73.7,6.8,0,,,,,,,,,,0.53,54
B3200A,OLIFANTS RIVER AT KLAWER,Bridge,Bridge,11/11/2019,MR00547+,1.66,Matzikama,6/30/2022,11/11/2019,53196160,82492025,97612140,8299490,36116494,47800,190.85,10.7,12.5,,,,,,,,,,,,,1,0.63,37
B3201,OLIFANTS RIVER CANAL AT KAPEL,Bridge,Bridge,11/12/2019,MR00547+,6.85,Matzikama,6/30/2022,11/12/2019,1160382,1806732,1953224,343600,449242,31880,6.8,9.01,2,,,,,,,,,,,,,1,0.77,23
B3203,OLIFANTS RIVER CANAL AT GRUWEL,Bridge,Bridge,11/12/2019,MR00547+,12.06,Matzikama,6/30/2022,11/12/2019,1617598,2199386,2356570,196960,542011,31880,8.25,8.96,1.4,,,,,,,,,,,,,1,0.77,23
B3204,OLIFANTS RIVER CANAL NO 1 AT BOBBEJAANSKRANS,Bridge,Bridge,11/4/2019,MR00547+,16.2,Matzikama,6/30/2022,11/4/2019,1130247,1666347,1986347,399240,456860,31880,6.9,9.03,2.6,,,,,,,,,,,,,1,0.77,23
B3205,OLIFANTS RIVER CANAL NO 2 AT BOBBEJAANSKRANZ,Bridge,Bridge,11/4/2019,MR00547+,16.26,Matzikama,6/30/2022,11/4/2019,1158658,1737035,1991556,374840,458058,31880,6.88,9.08,2.5,,,,,,,,,,,,,1,0.77,23
B3206,OLIFANTS RIVER CANAL AT DORINGVLEI,Bridge,Bridge,11/8/2019,MR00547+,17.22,Matzikama,6/30/2022,11/8/2019,986385,1693198,1972734,532620,453729,31880,7,8.84,2.2,,,,,,,,,,,,,1,0.77,23
B3207,OLIFANTS RIVER CANAL NO 1 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.77,Matzikama,6/30/2022,11/6/2019,1323989,1845422,1995050,212200,458862,31880,7,8.94,1.85,,,,,,,,,,,,,1,0.77,23
B3208,OLIFANTS RIVER CANAL NO 2 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.86,Matzikama,6/30/2022,11/6/2019,1538455,1941161,2337059,261080,537524,31880,8.2,8.94,1.85,,,,,,,,,,,,,1,0.77,23
B3209,OLIFANTS RIVER CANAL AT DIE KROON,Bridge,Bridge,11/6/2019,MR00547+,31.23,Matzikama,6/30/2022,11/6/2019,1239981,1828270,1988547,291200,457366,31880,6.9,9.04,1.6,,,,,,,,,,,,,1,0.77,23
B3210,OLIFANTS RIVER CANAL AT BAKLEIPLAAS,Bridge,Bridge,11/6/2019,MR00547+,33.24,Matzikama,6/30/2022,11/6/2019,1459455,2142382,2337059,340080,537524,31880,8.2,8.94,1.6,,,,,,,,,,,,,1,0.77,23
B3212A,OLIFANTS RIVER AT LUTZVILLE,Bridge,Bridge,11/6/2019,MR00547+,41.89,Matzikama,6/30/2022,11/6/2019,66886910,109631826,123668200,11024030,45757220,47800,240,10.78,12.2,,,,,,,,,,,,,1,0.63,37
B3213,KLEIN RIVER,Bridge,Bridge,11/7/2019,MR00548+,1.06,Matzikama,6/30/2022,11/7/2019,3350604,20394987,22864340,7166990,12346742,31880,65.2,11,3.57,,,,,,,,,,,,,1,0.46,60
B3242,BRIDGE OVER KLIPKRAAL STREAM,Bridge,Bridge,11/12/2019,MR00587,11.85,Beaufort West,6/30/2022,11/12/2019,1614602,2794340,3064306,9480,1440223,31880,10.8,8.9,1.8,,,,,,,,,,,,,1,0.53,47
B3243,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,MR00587,13.69,Beaufort West,6/30/2022,11/12/2019,4560276,9224268,10297240,52887,5684077,31880,38,8.5,7.66,,,,,,,,,,,,,1,0.45,63
B3244,BRIDGE OVER BUFFELS RIVER CAUSEWAY NO 1,Bridge,Bridge Cellular,11/14/2019,MR00587,54.57,Beaufort West,6/30/2022,11/15/2019,128759,1948582,2404767,571629,1704378,25890,,,,,21.11,4.4,0,,,,,,,,,,0.29,81
B3274,BRIDGE OVER BUFFELS RIVER,Bridge,Bridge,11/11/2019,MR00607,1.22,Beaufort West,6/30/2022,11/11/2019,1430970,3091359,4600922,206958,2962994,31880,32.8,4.4,3.75,,,,,,,,,,,,,1,0.36,86
B3275,BRIDGE OVER SNYDERSKRAAL CAUSEWAY,Bridge,Bridge Cellular,11/12/2019,MR00607,13.8,Beaufort West,6/30/2022,11/12/2019,1390290,4853330,5963788,85747.6,4487750,25890,,,,,47.3,4.87,0,,,,,,,,,,0.25,86
B3403,BREEDE RIVER AT NEKKIES,Bridge,Bridge,11/7/2019,MR00298,2.79,Breede Vallei,6/30/2022,11/7/2019,63491730,138364096,148379700,14790,84873208,31880,528.9,8.8,5.5,,,,,,,,,,,,,1,0.43,68
B3902,MALMESBURY NORTH INTERCHANGE,Bridge,Bridge,11/2/2005,TR01102,2.44,,6/30/2022,11/2/2005,1,14600279,22304120,55911800,11955011,31880,56.65,12.35,6.4,,,,,,,,,,,,,1,0.46,59
B3903,BRIDGE AT PAROW NORTH INTERCHANGE,Bridge,Bridge,11/19/2019,TR00901,11.45,City of Cape Town (LMB),6/30/2022,11/19/2019,16541804,27275649,34124420,1544140,16038476,47800,59,12.1,8,,,,,,,,,,,,,1,0.53,47
B3915,ROAD OVER RAIL NEAR BOTHA STATION,Bridge,Bridge,11/14/2019,MR00302+,17.13,Witzenberg,6/30/2022,11/14/2019,4620376,9460911,9872598,0,5252222,31880,9.8,31.6,5.5,,,,,,,,,,,,,1,0.47,58
B3916,ROAD OVER RAIL AT VLAKTEPLAAS,Bridge,Bridge,11/8/2019,TR08801+,14.97,Oudtshoorn,6/30/2022,11/8/2019,4656765,8393332,8885594,52600,4176229,31880,26.8,10.4,3,,,,,,,,,,,,,1,0.53,47
B3922,BRIDGE OVER DIPKARIVIER,Bridge,Bridge,12/11/2019,MR00270+,16.17,Swellendam,6/30/2022,11/16/2019,2379122,4387963,4941400,239820,2322458,31880,15.5,10,4.4,,,,,,,,,,,,,1,0.53,47
B3929,BRIDGE OVER DE HOOP RIVER,Bridge,Bridge,2/1/2021,MR00401,3.27,George,6/30/2022,2/1/2021,2409499,4992060,5239358,42520,2787339,47800,9.7,11.3,8.1,,,,,,,,,,,,,1,0.47,58
B3945,Klein River,Bridge,Bridge,11/6/2019,TR07301+,4.55,Prince Albert,6/30/2022,11/6/2019,5332657,10489410,11679560,133375,6213525,31880,34.4,10.65,2.4,,,,,,,,,,,,,1,0.47,58
B3946,OLIFANTS RIVER (PMK LE ROUX BRIDGE),Bridge,Bridge,11/8/2019,TR08801+,15.61,Oudtshoorn,6/30/2022,11/8/2019,16076200,26283590,30427870,50570,14301096,31880,90.9,10.5,6.33,,,,,,,,,,,,,1,0.53,47
B3958,GROOT RIVER,Bridge,Bridge,11/8/2019,TR08801+,0.14,Oudtshoorn,6/30/2022,11/8/2019,5030135,8109715,9578027,46220,4501672,31880,29,10.36,6.5,,,,,,,,,,,,,1,0.53,47
B3962,BRIDGE OVER SOUT KLOOF RIVIER,Bridge,Bridge,12/9/2019, MR00542+,55.17,Cederberg,6/30/2022,12/9/2019,5232803,8533674,11872110,180880,6458429,31880,38,9.8,3.53,,,,,,,,,,,,,1,0.46,61
B3966,KLAPMUTS RIVER,Bridge,Bridge,12/3/2019,MR00213,14.76,Drakenstein,6/30/2022,12/3/2019,2644512,5208591,6796179,508915,3642752,31880,18.7,11.4,3.9,,,,,,,,,,,,,1,0.46,59
B3968,RIETVLEI RIVER,Bridge,Bridge,11/7/2001,TR01105,19.28,,6/30/2022,11/7/2001,2527410,4139405,5821129,173593.2,3120125,31880,14.1,12.95,0,,,,,,,,,,,,,1,0.46,59
B3970,SWARTDOORN RIVER,Bridge,Bridge,8/1/2005,TR01107,28.87,,6/30/2022,8/1/2005,1,14809983,20229450,20988660,10923906,31880,49,12.95,4.3,,,,,,,,,,,,,1,0.46,60
B3972,KRUISMANS RIVER AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.91,Bergrivier,6/30/2022,11/19/2019,9014592,18298302,19152500,102000,10035912,47800,37.8,10.6,8.64,,,,,,,,,,,,,1,0.48,56
B3992,HOUW HOEK RIVER ,Bridge,Bridge,11/21/2019,DR01288+,0.77,Theewaterskloof,6/30/2022,11/21/2019,3372925,5248972,6599160,124630,3101605,31880,18.4,11.25,4.5,,,,,,,,,,,,,1,0.53,47
B3993,BRIDGE OVER SOUTRIVIER,Bridge,Bridge,12/8/2019,DR01262+,18.63,Cape Agulhas,6/30/2022,11/19/2019,2119429,4068788,5237884,656650,2461805,31880,15.5,10.6,5,,,,,,,,,,,,,1,0.53,47
B3999,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02217+,1.18,Matzikama,6/30/2022,11/7/2019,781069,9862152,13280570,5434237,7065264,31880,39.3,10.6,3.77,,,,,,,,,,,,,1,0.47,58
B4001,Porterville River Bridge No. 2,Bridge,Bridge,11/20/2019,TR02303+,35.12,Bergrivier,6/30/2022,11/20/2019,2434534,5054934,5336712,41700,2860478,31880,9,18.6,1.2,,,,,,,,,,,,,1,0.46,59
B4013,BRIDGE OVER MONTE VISTA INTERCHANGE,Bridge,Bridge,11/20/2019,TR00901,8.48,City of Cape Town (LMB),6/30/2022,11/20/2019,18677866,32007057,40003820,2524160,18801794,31880,58.5,21.45,5,,,,,,,,,,,,,1,0.53,47
B4016,ROAD OVER RAIL AT NUWEKLOOF,Bridge,Bridge,11/18/2019,TR02201+,1.46,Witzenberg,6/30/2022,11/18/2019,9866289,19763533,20927080,95000,10965789,47800,42.3,10.35,8,,,,,,,,,,,,,1,0.48,56
B4021,BRIDGE OVER KORINGLANDSRIVIER,Bridge,Bridge,12/11/2019,YMR00283,3.28,Swellendam,6/30/2022,11/15/2019,1690566,3612212,4095943,160800,2244577,31880,8.8,14.6,7,,,,,,,,,,,,,1,0.45,62
B4029,Kapteinskraal River Bridge,Bridge,Bridge,11/18/2019,TR03305+,26.87,Prince Albert,6/30/2022,11/14/2019,3923241,7250180,10278110,804690,5550181,31880,24.8,13,3.38,,,,,,,,,,,,,1,0.46,60
B4031,"BRIDGE OVER POORT RIVER
BRIDGE OVER POORT RIVER",Bridge,Bridge,2/1/2021,MR00401,5.37,George,6/30/2022,2/1/2021,4928612,9019778,10441980,0,5513363,31880,30.9,10.6,2.1,,,,,,,,,,,,,1,0.47,57
B4033,Traka River Bridge 1,Bridge,Bridge,11/18/2019,TR03305+,21.14,Prince Albert,6/30/2022,12/5/2019,11580125,18838698,26563310,745250,14237933,31880,65.3,12.76,2.8,,,,,,,,,,,,,1,0.46,59
B4034 (5832),Modderdrift Stream,Bridge,Bridge,11/14/2019,TR03305+,22.62,Prince Albert,6/30/2022,11/14/2019,2677282,3138720,3937180,0,1259898,31880,9.5,13,3.98,,,,,,,,,,,,,1,0.68,32
B4035,Droekloof River Bridge No.6,Bridge,Bridge,11/18/2019,TR03305+,10.34,Prince Albert,6/30/2022,11/14/2019,2029090,4666386,6817219,1134100,3654029,31880,16.5,12.96,4.25,,,,,,,,,,,,,1,0.46,59
B4040,Traka River Bridge 2,Bridge,Bridge,11/18/2019,TR03305+,43.39,Prince Albert,6/30/2022,11/18/2019,6777325,11731491,16867710,981820,9108563,31880,40.7,13,1.83,,,,,,,,,,,,,1,0.46,60
B4042,Groen River at Mamre Flats,Bridge,Bridge,11/7/2019,MR00224,18.25,Swartland,6/30/2022,11/8/2019,4194955,8205738,9227188,86460,4945773,31880,26.75,10.82,2.47,,,,,,,,,,,,,1,0.46,59
B4048,Dassiedraai River Bridge,Bridge,Bridge,11/18/2019,TR03305+,22.78,Prince Albert,6/30/2022,11/18/2019,1027335,1991239,2725485,237290,1460860,31880,6.7,12.76,6.14,,,,,,,,,,,,,1,0.46,59
B4084,KLEIN BERG RIVER,Bridge,Bridge,11/18/2019,TR02201+,2.71,Witzenberg,6/30/2022,11/18/2019,13595500,28809609,29334700,15800,15723400,31880,86.4,10.65,7.8,,,,,,,,,,,,,1,0.46,59
B4087,EENKOKER RIVER,Bridge,Bridge,3/20/2002,TR01107,17.62,,6/30/2022,3/20/2002,1,3315108,4087176,11692840,2190726,31880,9.9,12.95,5.5,,,,,,,,,,,,,1,0.46,59
B4094,ROAD OVER RAIL NEAR GOUDA,Bridge,Bridge,11/20/2019,TR02303,0.97,Drakenstein,6/30/2022,11/20/2019,4612908,8594217,9863672,82200,5168564,31880,28,11.05,5.3,,,,,,,,,,,,,1,0.48,56
B4100,ROAD OVER RAIL NEAR HERMON STATION,Bridge,Bridge,11/22/2019,MR00023,2.17,Drakenstein,6/30/2022,11/22/2019,10168019,17892486,19226830,22200,9036609,31880,16.3,37,5.73,,,,,,,,,,,,,1,0.53,47
B4101,ROAD OVER RAIL NEAR ELGIN,Bridge,Bridge,11/27/2019,MR00279,34.43,Theewaterskloof,6/30/2022,11/27/2019,9524704,17151966,19130010,40300,9565004,31880,43.17,13.9,7.51,,,,,,,,,,,,,1,0.5,50
B4102,"ROAD OVER RAIL AT MULDERSVLEI
",Bridge,Bridge,11/27/2019,MR00174,48.11,Stellenbosch,6/30/2022,11/18/2019,9846695,17135200,20452610,134180,10471739,31880,47,13.65,6.35,,,,,,,,,,,,,1,0.49,53
B4105,BRIDGE OVER NOORDHOEK RIVER,Bridge,Bridge,11/11/2019, B4105,15.15,Cederberg,6/30/2022,11/11/2019,4906904,10029260,10497450,5900,5584642,31880,29.4,11.2,5.47,,,,,,,,,,,,,1,0.47,58
B4110,TANQUA RIVER,Bridge,Bridge,11/5/2019,DR02250+,46.01,Witzenberg,6/30/2022,11/5/2019,9296074,17755689,19867620,81440,10490102,31880,76,8.2,4,,,,,,,,,,,,,1,0.47,57
B4112,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR04401,11.67,George,6/30/2022,2/1/2021,4080277,8718542,8718542,0,4638265,31880,25.8,10.6,4.05,,,,,,,,,,,,,1,0.47,58
