Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2184,BORCHERDS QUARRY ROAD INTERCHANGE NO 01,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.36,82.83
B2184A,BORCHERDS QUARRY INTERCHANGE NO 2,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.06,82.77
B2219,Great Brak River,Bridge,Bridge,11/7/2019,TR00209,0.88,Mossel Bay,Oudtshoorn,Garden Route (Eden),6/30/2022,95.26,80.82
B2221,Maalgaten River,Bridge,Bridge - Arch,11/8/2019,TR00209,15.10,George,Oudtshoorn,Garden Route (Eden),6/30/2022,97.92,97.60
B2231,BRIDGE OVER GOUKAMMA RIVER,Bridge,Bridge,11/28/2019,OP06916,0.18,Knysna,Knysna,Garden Route (Eden),6/30/2022,87.28,74.25
B2233,WITBRUG OVER KNYSNA LAGOON - NORTHBOUND,Bridge,Bridge,1/23/2020,TR00210,54.76,Knysna,Oudtshoorn,Garden Route (Eden),6/30/2022,81.64,60.21
B2237A,SALT RIVER,Bridge,Bridge - Arch,10/30/2019,TR00212,15.09,Bitou,Oudtshoorn,Garden Route (Eden),6/30/2022,93.97,95.31
B2238,BRIDGE OVER GROOT RIVER,Bridge,Bridge,10/31/2019,TR00212,25.97,Bitou,Oudtshoorn,Garden Route (Eden),6/30/2022,93.37,94.64
B2239,BLAAUWKRANTZ RIVER,Bridge,Bridge - Arch,11/2/2019,TR00212,37.25,Bitou,Oudtshoorn,Garden Route (Eden),6/30/2022,86.44,58.56
B2361,BREEDE RIVER AT NIEUWDRIFT,Bridge,Bridge,11/7/2019,TR00902,45.25,Breede Vallei,Paarl,Cape Winelands,6/30/2022,88.89,76.08
B2362,BREEDE RIVER AT AMANDEL SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46.00,Breede Vallei,Paarl,Cape Winelands,6/30/2022,82.81,58.77
B2363,BREEDE RIVER AT BOTHAS SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46.33,Breede Vallei,Paarl,Cape Winelands,6/30/2022,82.69,24.02
B2364,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,TR00902,50.55,Breede Vallei,Paarl,Cape Winelands,6/30/2022,90.23,61.19
B2365,ROAD OVER RAIL AT HARTEBEESTKRAAL,Bridge,Bridge,10/31/2019,TR06902,51.60,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,84.72,28.79
B2420,DARLING ROAD INTERCHANGE NBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,,,6/30/2022,81.67,81.36
B2420A,DARLING ROAD INTERCHANGE SBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,,,6/30/2022,81.81,84.37
B2422,KROMSPRUIT NO 1,Bridge,Bridge,11/7/2001,TR01102,14.89,,,,6/30/2022,82.29,83.69
B2423,KROMSPRUIT NO 2,Bridge,Bridge,10/9/2001,TR01102,18.30,,,,6/30/2022,74.55,83.17
B2424,KROMSPRUIT NO 3,Bridge,Bridge,11/7/2003,TR01102,18.92,,,,6/30/2022,82.59,83.67
B2427,ROAD OVER RAIL NEAR RIETFONTEIN,Bridge,Bridge,11/18/2019,MR00527+,1.82,Bergrivier,Ceres,West Coast,6/30/2022,77.46,75.34
B2429,MARKUSKRAAL RIVER,Bridge,Bridge,11/7/2003,TR01104,63.13,,,,6/30/2022,89.17,90.40
B2430,ELANDSKLOOF RIVER,Bridge,Bridge,11/5/2001,TR01104,67.36,,,,6/30/2022,74.40,80.44
B2431,KRANSVLEI RIVER,Bridge,Bridge,11/7/2003,TR01104,89.22,,,,6/30/2022,82.44,82.82
B2432,WELGEMEENT CANAL NO 1,Bridge,Bridge,11/6/2001,TR01105,34.51,,,,6/30/2022,90.56,84.63
B2433,WELGEMEENT CANAL NO 2,Bridge,Bridge,11/6/2001,TR01105,34.59,,,,6/30/2022,92.50,84.80
B2435,OLIFANTS RIVER AT KRANTZ,Bridge,Bridge - Arch,11/7/2003,TR01105,47.84,,,,6/30/2022,90.30,79.41
B2436,SYPHON CANAL AT KRANTZ,Bridge,Bridge,1/7/2002,TR01105,48.03,,,,6/30/2022,88.06,84.55
B2491A,OLIFANTS RIVER,Bridge,Bridge,11/8/2019,TR01601+,0.91,Matzikama,West Coast,West Coast,6/30/2022,88.19,90.59
B2492,DROE RIVER,Bridge,Bridge,11/7/2019,TR01601+,21.70,Matzikama,West Coast,West Coast,6/30/2022,89.73,84.28
B2493,DROE RIVER,Bridge,Bridge,11/7/2019,TR01602+,8.93,Matzikama,West Coast,West Coast,6/30/2022,89.29,66.90
B2514,BRIDGE OVER TOWERWATER RIVER,Bridge,Bridge,11/11/2019,TR01610,10.58,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,75.22,7.73
B2515,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01610,26.12,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,83.48,56.84
B2516,BRIDGE OVER POORTJIES STREAM,Bridge,Bridge,11/11/2019,TR01610,30.98,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,85.27,78.44
B2566,WILGENHOUT RIVER NO 1,Bridge,Bridge,11/20/2019,TR02001,19.10,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,97.02,97.16
B2567,WILGENHOUT RIVER NO 2,Bridge,Bridge,11/21/2019,TR02001,20.92,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,92.41,96.96
B2568,WILGENHOUT RIVER NO 3,Bridge,Bridge,11/18/2019,TR02001,23.41,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,93.30,97.00
B2569,NUWERUS RIVER BRIDGE,Bridge,Bridge,11/19/2019,TR02001,29.66,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,91.52,96.96
B2574,KLEIN BERG RIVER AT UITKYK,Bridge,Bridge,11/15/2019,TR02201+,5.84,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,96.88,86.49
B2575,"DWARS RIVER AT CERES ""VAN BREDA BRIDGE""",Bridge,Bridge,11/7/2019,TR02201+,36.80,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.31,79.74
B2577A,SKAAP RIVER,Bridge,Bridge,11/7/2019,TR02202+,10.92,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,96.65,92.80
B2578,DORING RIVER,Bridge,Bridge,11/7/2019,TR02202+,40.58,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,82.37,55.97
B2579,HARTEBEESKRAAL RIVER NO 2 CULVERT,Bridge,Bridge Cellular,11/13/2019,TR02202+,51.68,Witzenberg,Paarl,Cape Winelands,6/30/2022,87.36,84.47
B2580,HARTEBEESKRAAL RIVER NO 3 CULVERT,Bridge,Bridge Cellular,11/13/2019,TR02202+,53.45,Witzenberg,Paarl,Cape Winelands,6/30/2022,93.47,88.74
B2581,BRIDGE AT SONQUAS DOOR DRIFT,Bridge,Bridge Cellular,11/21/2019,TR02302,3.20,Drakenstein,Ceres,Cape Winelands,6/30/2022,80.68,83.18
B2582A,KLEIN BERG RIVER,Bridge,Bridge,11/20/2019,TR02303,12.43,Drakenstein,Ceres,Cape Winelands,6/30/2022,90.10,94.93
B2584,24 RIVERS AT HALFMANSHOF NO 7,Bridge,Bridge,12/5/2001,DR01167,,,,,6/30/2022,72.68,53.52
B2585,24 RIVERS AT HALFMANSHOF NO 6,Bridge,Bridge,11/12/2001,DR01167,,,,,6/30/2022,86.39,84.68
B2586,24 RIVERS AT HALFMANSHOF NO 5,Bridge,Bridge,11/12/2001,DR01167,,,,,6/30/2022,84.44,84.19
B2587,24 RIVERS AT HALFMANSHOF NO 4,Bridge,Bridge,11/12/2001,DR01167,,,,,6/30/2022,80.28,84.60
B2588,24 RIVERS AT HALFMANSHOF NO 3,Bridge,Bridge,11/12/2001,DR01167,,,,,6/30/2022,75.74,70.19
B2592,BRIDGE OVER ESSENBOSCH RIVER,Bridge,Bridge,11/20/2019,TR02303+,40.94,Bergrivier,Ceres,West Coast,6/30/2022,97.66,95.72
B2593,BRIDGE OVER KROM RIVER,Bridge,Bridge,11/20/2019,TR02303+,52.28,Bergrivier,Ceres,West Coast,6/30/2022,97.62,80.50
B2596,BRIDGE OVER RIEBEEK AT DOORNKUIL,Bridge,Bridge,11/6/2019,TR02501,39.85,Swartland,Ceres,West Coast,6/30/2022,93.90,86.05
B2603,BOSKLOOF RIVER,Bridge,Bridge - Arch,11/13/2019,TR02701,46.09,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,83.06,36.85
B2604,STEENBRAS RIVER (BENNING BRIDGE),Bridge,Bridge - Arch,11/13/2019,TR02701,53.10,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.89,81.24
B2609,VOGELGAT RIVER,Bridge,Bridge,11/29/2002,TR02802,8.21,Overstrand,Paarl,Overberg,6/30/2022,80.00,84.18
