Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B4775,WATERFALLS RIVER,Bridge,Bridge,11/15/2019,MR00313+,3.48,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.98,89.01
B4781,VETTE RIVER,Bridge,Bridge,11/18/2019,TR08301,9.08,Hessequa,Oudtshoorn,Garden Route (Eden),6/30/2022,73.55,55.46
B4782,DOORNKLOOF RIVER NO 1,Bridge,Bridge,11/21/2019,TR08301,59.14,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,77.79,79.87
B4786,Road over rail near Hopefield,Bridge,Bridge,11/18/2019,TR02101,7.17,Swartland,Ceres,West Coast,6/30/2022,91.07,73.69
B4794,THE DRAAIBERG BRIDGE,Bridge,Bridge,10/24/2019,MR00279+,8.02,Theewaterskloof,Overberg,Overberg,6/30/2022,86.69,82.17
B4817,RIETPOEL STREAM,Bridge,Bridge,11/12/2019,MR00267+,39.47,Theewaterskloof,Overberg,Overberg,6/30/2022,73.21,45.72
B4818,ROAD OVER RAIL AT RIETPOEL,Bridge,Bridge,11/12/2019,MR00267+,40.02,Theewaterskloof,Overberg,Overberg,6/30/2022,83.26,79.51
B4819,CULVERT OVER SAK RIVER,Bridge,Bridge Cellular,11/13/2019,TR05801,28.19,Beaufort West,Central Karoo,Central Karoo,6/30/2022,94.44,92.92
B4825,OLIFANTS RIVER AT DYSSELDORP,Bridge,Bridge,11/5/2019,MR00369+,1.11,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,78.42,89.64
B4828,DORING RIVER,Bridge,Bridge,11/12/2019,MR00544+,8.29,Matzikama,West Coast,West Coast,6/30/2022,76.05,62.41
B4831,BRIDGE OVER GROOTVADERSBOSRIVIER,Bridge,Bridge,12/11/2019,TR06501+,15.91,Swellendam,Paarl,Overberg,6/30/2022,89.43,73.59
B4832,CELLULAR BRIDGE OVER DROë RIVER,Bridge,Bridge Cellular,11/5/2019,MR00342 ,28.47,Mossel Bay,Eden,Garden Route (Eden),6/30/2022,100.00,100.00
B4837,GROOT RIVER,Bridge,Bridge,11/21/2019,TR08301,57.49,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,66.46,41.52
B4838,DOORNKLOOF RIVER NO 2,Bridge,Bridge,11/21/2019,TR08301,57.61,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,74.55,75.46
B4841,Road over rail at Porterville,Bridge,Bridge,11/20/2019,TR02303+,33.16,Bergrivier,Ceres,West Coast,6/30/2022,91.81,92.94
B4863,KROM RIVER,Bridge,Bridge,11/21/2019,DR01413,4.08,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,85.83,75.94
B4864,Baviaanskloof River Amco,Bridge,Bridge Cellular,11/15/2019,TR03402+,11.08,Overstrand,Central Karoo,Central Karoo,6/30/2022,82.39,74.38
B4879,Road over road,Bridge,Bridge,11/25/2019,MR00027,20.15,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.61,74.67
B4896,Road over rail at Piketberg,Bridge,Bridge,11/19/2019,TR02303,60.14,Bergrivier,Ceres,West Coast,6/30/2022,89.69,82.77
B4902,BERG RIVER,Bridge,Bridge,11/22/2019,MR00027,72.86,Drakenstein,Paarl,Cape Winelands,6/30/2022,90.85,84.49
B4940,HUIS RIVER NO 1,Bridge,Bridge,11/19/2019,TR03105,37.53,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,93.75,84.75
B4941,HUIS RIVER NO 2,Bridge,Bridge,11/19/2019,TR03105,39.69,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,90.62,84.62
B4942,NELS RIVER,Bridge,Bridge,11/20/2019,TR03105,47.87,Kannaland,Calitzdorp,Garden Route (Eden),6/30/2022,83.48,65.30
B4943,VLEI RIVER,Bridge,Bridge,11/21/2019,TR03106,19.46,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,82.81,83.16
B4944,BRIDGE OVER WYNANDS RIVER,Bridge,Bridge,11/6/2019,TR03106+,36.45,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,95.16,96.96
B4945,KANSA RIVER CULVERT,Bridge,Bridge,11/6/2019,TR03106+,39.87,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,92.28,94.51
B4946,EERSTE RIVER,Bridge,Bridge,11/11/2019,TR00201,31.74,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,77.46,18.83
B4947,MODDERGAT RIVER,Bridge,Bridge,11/11/2019,TR00201,35.85,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,73.88,52.51
B4948,ROAD OVER RAIL AT FIRGROVE,Bridge,Bridge,11/11/2019,TR00201,37.31,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.94,92.57
B4949,BRIDGE OVER LOURENS RIVER,Bridge,Bridge,11/11/2019,TR00201,42.79,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,91.74,82.99
B4950,VAN DER STEL INTERCHANGE,Bridge,Bridge,11/12/2019,TR00202,1.41,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,88.02,61.67
B4951,SIR LOWRYS PASS RIVER AT FIRLANDS,Bridge,Bridge,11/12/2019,TR00202,5.94,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,98.48,98.54
B4973,BERG RIVER,Bridge,Bridge,2/3/2004,TR01103,23.09,,,,6/30/2022,58.30,64.00
B4974,ROAD OVER RAIL AT DE HOEK,Bridge,Bridge,1/30/2002,TR01103,28.68,,,,6/30/2022,85.27,83.24
B4975,KROM RIVER AT BLINDEFONTEIN,Bridge,Bridge,2/4/2004,TR01104,23.64,,,,6/30/2022,66.82,69.44
B4984,Diep River No. 1,Bridge,Bridge,11/22/2019,TR01101,10.88,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,85.45,89.21
B4984A,Diep River No.2,Bridge,Bridge,11/22/2019,TR01101,10.89,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,82.10,90.14
B4985,SALT RIVER,Bridge,Bridge,1/6/2004,TR01101,31.08,,,,6/30/2022,72.77,76.78
B4986,GREEN RIVER,Bridge,Bridge,7/12/2001,TR01101,36.54,,,,6/30/2022,77.68,82.77
B4987,ROAD OVER RAIL AT KALBASKRAAL,Bridge,Bridge,7/13/2001,TR01101,37.65,,,,6/30/2022,80.00,84.29
B4988,DIEP RIVER TRIBUTARY,Bridge,Bridge,7/13/2001,TR01101,49.35,,,,6/30/2022,89.88,95.12
B4989,ROAD OVER RAIL AT MALMESBURY,Bridge,Bridge,7/13/2001,TR01101,49.77,,,,6/30/2022,84.44,84.62
B5003,ELANDS RIVER,Bridge,Bridge,11/1/2019,TR03002,0.40,Theewaterskloof,Paarl,Overberg,6/30/2022,95.00,93.80
B5006,HOLSLOOT RIVER,Bridge,Bridge,11/7/2019,MR00298+,13.51,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,80.22,55.92
B5007,TOUW RIVER,Bridge,Bridge,1/17/2003,TR08301,54.00,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,70.66,49.34
B5009,ROAD OVER ROAD/RAIL AT DE WET STASIE,Bridge,Bridge,10/31/2019,DR01400+,21.89,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,79.24,75.86
B5026,ROAD OVER RAIL AT TULBAGH STATION,Bridge,Bridge,11/15/2019,MR00323+,0.39,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,94.64,97.22
B5028,ROAD OVER RAIL AT MATROOSBERG,Bridge,Bridge,10/29/2019,MR00295+,3.76,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,59.17,53.31
B5029,"ELANDS RIVER CULVERT NEAR VILLIERSDORP

",Bridge,Bridge Cellular,11/1/2019,TR03001,30.61,Theewaterskloof,Paarl,Overberg,6/30/2022,88.35,83.24
B5030,SPREEUDRIFTSPRUIT CULVERT NEAR VILLIERSDORP,Bridge,Bridge Cellular,11/2/2019,TR03001,29.93,Theewaterskloof,Paarl,Overberg,6/30/2022,93.75,96.96
B5031,SAND RIVER,Bridge,Bridge,11/26/2019,TR02501,17.57,Drakenstein,Paarl,Cape Winelands,6/30/2022,81.25,62.43
B5032,BOT RIVER,Bridge,Bridge,11/26/2019,TR02501,18.83,Drakenstein,Paarl,Cape Winelands,6/30/2022,83.04,89.97
B5033,DIEP RIVER AT DE GRENDAL,Bridge,Bridge,11/6/2019,TR02501,33.83,Swartland,Paarl,West Coast,6/30/2022,98.66,91.93
B5034,HOL RIVER,Bridge,Bridge,11/6/2019,MR00552+,6.71,Matzikama,West Coast,West Coast,6/30/2022,76.67,46.98
B5043,"OLIFANTSKUIL RIVER
",Bridge,Bridge,12/9/2019,"TR02101
",23.64,Swartland,Ceres,West Coast,6/30/2022,90.46,82.88
B5044,Geelkuil River Bridge,Bridge,Bridge,12/9/2019,TR02101+,28.61,Swartland,Ceres,West Coast,6/30/2022,88.95,84.06
B5046,Road over Rail Skimmelkrans,Bridge,Bridge,11/8/2019,MR00347,13.82,George,,Garden Route (Eden),6/30/2022,97.22,93.43
B5090,WAPADSKLOOF RIVER,Bridge,Bridge,11/21/2019,TR08301,52.91,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,79.14,76.27
B5104,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/7/2019,TR07701,26.30,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,94.20,87.29
B5105,"BRIDGE OVER MODDER RIVER
",Bridge,Bridge,12/4/2019,TR07701,55.99,Swartland,Ceres,West Coast,6/30/2022,91.85,86.90
B5106,ROAD OVER RAIL AT LANGEENHEID,Bridge,Bridge,11/15/2019,TR07701,121.52,Saldanha Bay,Ceres,West Coast,6/30/2022,99.11,98.78
B5109,Parow North interchange no 2,Bridge,Bridge,11/19/2019,TR00901,11.39,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,73.44,49.77
B5110,ROAD OVER RAIL NEAR WELLINGTON,Bridge,Bridge,11/21/2019,MR00027,75.10,Drakenstein,Paarl,Cape Winelands,6/30/2022,81.25,56.52
B5111,BREEDE RIVER NO 1,Bridge,Bridge,11/1/2019,TR03002,35.77,Breede Vallei,Paarl,Cape Winelands,6/30/2022,93.30,70.70
B5111A,BREEDE RIVER NO 2,Bridge,Bridge,11/1/2019,TR03002,35.55,Breede Vallei,Paarl,Cape Winelands,6/30/2022,90.40,79.74
B5112,SKAAP RIVER AT CASCADE,Bridge,Bridge,11/11/2019,DR01453+,1.42,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,83.04,83.45
B5119,ROAD OVER RAIL  AT WELLINGTON STATION,Bridge,Bridge,11/22/2019,MR00219,0.10,Drakenstein,Wellington,Cape Winelands,6/30/2022,90.78,77.01
B5132,"BRIDGE OVER DWARS RIVER
",Bridge,Bridge,12/4/2019,TR07701,63.59,Swartland,Ceres,West Coast,6/30/2022,97.32,94.48
B5133,DROOGE ZEE RIVER,Bridge,Bridge,11/21/2019,TR08301,48.06,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,89.17,90.73
B5135A,BREEDE RIVER,Bridge,Bridge,10/30/2019,MR00282,18.04,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,88.88,65.32
B5137,Rooi Els River,Bridge,Bridge,11/26/2019,TR02701+,38.40,Overstrand,Overberg,Overberg,6/30/2022,76.12,54.41
B5139,BOT RIVER,Bridge,Bridge,11/29/2019,TR02801+,10.70,Overstrand,Paarl,Overberg,6/30/2022,73.88,55.25
B5140,AFDAKS RIVER,Bridge,Bridge,12/2/2019,TR02801+,15.50,Overstrand,Hermanus,Overberg,6/30/2022,82.37,80.60
B5141,ONRUST RIVER,Bridge,Bridge,12/3/2019,TR02801+,26.40,Overstrand,Hermanus,Overberg,6/30/2022,89.29,83.11
B5148,ROAD OVER RAIL AT EENZAAMHEID,Bridge,Bridge,11/15/2019,TR02102,30.73,Saldanha Bay,Ceres,West Coast,6/30/2022,98.33,96.34
B5149,ROAD OVER RAIL (SALDANHA-SISHEN LINE),Bridge,Bridge,11/12/2019,MR00533,2.36,Saldanha Bay,West Coast,West Coast,6/30/2022,98.33,98.78
B5150,ROAD OVER RAIL AT OLIFANTSKRAAL,Bridge,Bridge,12/8/2019,TR07701,134.02,Saldanha Bay,Ceres,West Coast,6/30/2022,95.83,79.91
B5151,Road over rail at Kliphoek,Bridge,Bridge,11/18/2019,MR00234+,35.96,Bergrivier,Ceres,West Coast,6/30/2022,94.31,87.63
B5152,Rail bridge East of Velddrif,Bridge,Bridge,11/18/2019,MR00529+,54.14,Bergrivier,Ceres,West Coast,6/30/2022,88.89,86.89
B5153,Road over rail at Sewevlei,Bridge,Bridge,11/19/2019,OP07826+,2.30,Bergrivier,West Coast,West Coast,6/30/2022,89.58,84.88
B5154,Road over rail at Helenafontein,Bridge,Bridge,11/19/2019,MR00535+,24.52,Bergrivier,Ceres,West Coast,6/30/2022,89.31,90.89
B5155,Road over rail at Bottelfontein,Bridge,Bridge,11/19/2019,MR00535+,38.72,Bergrivier,Ceres,West Coast,6/30/2022,97.22,94.72
B5156,BRIDGE OVER RAIL AT VERLORENVLEI,Bridge,Bridge,11/14/2019,MR00535,56.28,Cederberg,Ceres,West Coast,6/30/2022,88.89,88.07
B5157,BRIDGE OVER RAIL AT STEENBOKFONTEIN,Bridge,Bridge,11/14/2019, MR00538,11.30,Cederberg,West Coast,West Coast,6/30/2022,86.39,81.85
B5158,BRIDGE OVER RAIL AT LAMBERTS BAY,Bridge,Bridge,11/14/2019,TR05501,59.56,Cederberg,Ceres,West Coast,6/30/2022,87.78,84.72
B5159, BRIDGE OVER RAIL AT LAMBERTS BAY,Bridge,Bridge,11/14/2019,TR05501,59.60,Cederberg,Ceres,West Coast,6/30/2022,93.33,89.91
B5160,ROAD OVER RAIL AT DORING BAAI,Bridge,Bridge,11/5/2019,MR00546+,16.87,Matzikama,West Coast,West Coast,6/30/2022,90.00,75.12
B5218,BUFFELS RIVER NO 2,Bridge,Bridge,11/25/2019,TR08303,4.34,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,85.04,52.51
B5224,BREEDE RIVER CHANNEL NO 1,Bridge,Bridge,11/8/2019,MR00305+,5.99,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,92.19,82.77
B5225,BREEDE RIVER CHANNEL NO 2,Bridge,Bridge,11/8/2019,MR00305+,5.55,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,98.68,97.78
B5228,VINKNES RIVER,Bridge,Bridge,11/4/2019,MR00363+,29.26,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,85.00,91.50
B5232,Tierberg Road over Road,Bridge,Bridge,11/18/2019,TR00901,12.86,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,70.28,60.18
B5233,Karl Bremer Interchange,Bridge,Bridge,11/18/2019,TR00901,13.93,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,67.04,75.06
B5234,Lincoln street road over road,Bridge,Bridge,11/18/2019,TR00901,14.66,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,87.28,81.21
B5236,Durban Road Interchange No.1,Bridge,Bridge,11/20/2019,TR00901,16.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,97.05,90.28
B5237,Durban Road Interchange No.2,Bridge,Bridge,11/20/2019,TR00901,16.25,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,99.11,91.56
B5245,EGGAS RIVER,Bridge,Bridge,11/13/2019,MR00337,27.64,Hessequa,,Garden Route (Eden),6/30/2022,86.94,93.24
B5246,BREEDE RIVER AT WYZERSDRIFT,Bridge,Bridge,10/30/2019,MR00299+,4.29,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,84.34,66.10
B5271,GROOT RIVER CAUSEWAY NO 1,Bridge,Bridge,11/12/2019,DR01487+,71.82,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,97.77,98.05
B5271A,GROOT RIVER CAUSEWAY NO 2,Bridge,Bridge,11/12/2019,DR01487+,71.95,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,97.77,98.05
B5299,Stellenbosch Arterial Interchange No.1,Bridge,Bridge,10/31/2019,MR00177,13.71,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,95.09,94.43
B5299A,Stellenbosch Arterial Interchange No.2,Bridge,Bridge,10/31/2019,MR00177,13.72,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,98.42,96.95
B5301,Road over Rail at Glentana,Bridge,Bridge,11/8/2019,MR00348,14.26,George,,Garden Route (Eden),6/30/2022,96.67,83.54
B5313,MR00358+,Bridge,Bridge,11/6/2019,MR00358+,15.91,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,85.56,90.61
B5317,DIEP RIVER AT DE GRENDAL,Bridge,Bridge,11/6/2019,DR01139,0.22,Swartland,West Coast,West Coast,6/30/2022,93.97,83.89
B5321,Lamloch Stream Culvert,Bridge,Bridge,11/5/2019,TR02701+,7.12,Overstrand,Kleinmond,Overberg,6/30/2022,98.61,97.97
B5322,HUIS RIVER NO 1,Bridge,Bridge,11/19/2019,DR01711,3.36,Kannaland,,Garden Route (Eden),6/30/2022,86.38,91.72
B5325,Parrow west Road over Road and Rail,Bridge,Bridge,11/19/2019,TR00901,9.51,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,69.83,49.34
B5349,BRANDVLEI CANAL 2,Bridge,Bridge,11/26/2019,MR00298+,8.26,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,100.00,100.00
B5350,NUY RIVER BRIDGE,Bridge,Bridge,11/1/2019,TR03002,37.85,Breede Vallei,Paarl,Cape Winelands,6/30/2022,91.70,83.19
B5351,HEX RIVER CHANNEL NO 2,Bridge,Bridge,11/1/2019,TR03002+,43.67,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,70.28,55.37
B5351,HEX RIVER CHANNEL NO 2,Bridge,Bridge,7/31/2002,TR03002,43.67,Breede Vallei,Paarl,Cape Winelands,6/30/2022,75.56,84.39
B5351A,HEX RIVER CHANNEL NO 3,Bridge,Bridge,11/1/2019,TR03002+,43.72,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,82.37,54.76
B5351B,HEX RIVER CHANNEL NO 4,Bridge,Bridge,11/1/2019,TR03002+,43.80,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,90.85,55.81
B5351C,HEX RIVER CHANNEL NO 5,Bridge,Bridge,11/1/2019,TR03002+,43.89,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,83.48,55.35
B5359,KLEIN SWARTBERG RIVER,Bridge,Bridge,11/19/2019,TR08302,6.73,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,92.56,86.21
B5370,ROAD OVER RAIL NEAR SALCOR,Bridge,Bridge,11/14/2019,TR08501,4.89,Saldanha Bay,Ceres,West Coast,6/30/2022,94.64,84.90
B5377,CELLULAR BRIDGE OVER LANGTOU RIVER (ARMCO),Bridge,Bridge Cellular,11/5/2019,MR00337,48.40,Mossel Bay,,Garden Route (Eden),6/30/2022,92.90,87.36
B5388,BRANDVLEI CANAL 1,Bridge,Bridge,11/26/2019,MR00298+,8.94,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,90.28,91.56
B5398,GOURITS RIVER (DIE POORT BRIDGE),Bridge,Bridge,11/13/2019,MR00337,33.37,Mossel Bay,,Garden Route (Eden),6/30/2022,90.18,87.49
B5400,HUIS RIVER NO 2,Bridge,Bridge,11/19/2019,DR01711,3.96,Kannaland,,Garden Route (Eden),6/30/2022,81.25,80.15
B5402,Bloemendal River,Bridge,Bridge,11/15/2019,TR03402+,36.41,Prince Albert,Central Karoo,Central Karoo,6/30/2022,90.56,90.07
B5403,Groot River Bridge,Bridge,Bridge,11/15/2019,TR03402+,36.97,Prince Albert,Central Karoo,Central Karoo,6/30/2022,90.10,74.11
B5425,BRIDGE OVER LEEURIVIER,Bridge,Bridge,12/11/2019,TR03201+,33.13,Swellendam,Paarl,Overberg,6/30/2022,97.77,92.63
B5436,BRIDGE OVER KLIPRIVIER,Bridge,Bridge,12/11/2019,TR03201+,42.62,Swellendam,Paarl,Overberg,6/30/2022,98.44,93.25
B5456,ROOI RIVER,Bridge,Bridge,11/22/2019,TR08801,30.16,George,Oudtshoorn,Garden Route (Eden),6/30/2022,94.72,96.87
B5485,BRIDGE OVER LANGHUIS RIVER,Bridge,Bridge,11/13/2019, MR00544,42.67,Cederberg,West Coast,West Coast,6/30/2022,97.22,95.22
B5490,GROOT RIVER,Bridge,Bridge,11/19/2019,TR08302,15.56,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,88.69,86.08
B5498,BRIDGE OVER KORINGLANDSRIVIER,Bridge,Bridge,12/11/2019,TR03201+,44.67,Swellendam,Overberg,Overberg,6/30/2022,97.22,88.51
B5501,MODDERDAM INTERCHANGE NO2,Bridge,Bridge,11/12/2019,TR00201,10.38,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.53,69.55
B5503,OLIFANTS RIVER AT BARANDAS,Bridge,Bridge,11/22/2019,MR00404,0.52,George,,Garden Route (Eden),6/30/2022,98.88,97.47
B5506,RIVIERSONDEREND NEAR GENADENDAL,Bridge,Bridge,11/4/2019,MR00277+,24.94,Theewaterskloof,Overberg,Overberg,6/30/2022,79.46,95.74
B5510,SKAAP RIVER,Bridge,Bridge,11/13/2019,MR00310+,8.58,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,82.59,80.75
B5527,Diep River,Bridge,Bridge,11/9/2019,MR00355,25.32,George,,Garden Route (Eden),6/30/2022,100.00,100.00
B5530,ROAD OVER RAIL NEAR SOETENDAL,Bridge,Bridge,11/22/2019,DR01143,1.39,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,91.94,93.02
B5531,KOMPAGNIES RIVER,Bridge,Bridge,11/22/2019,DR01143,3.51,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,94.79,92.70
B5532,OPSOEK RIVER,Bridge,Bridge,11/22/2019,MR00356,25.11,Kannaland,,Garden Route (Eden),6/30/2022,84.58,83.24
B5533,ROAD OVER RAIL AT CALEDON,Bridge,Bridge,11/19/2019,TR02901+,1.54,Theewaterskloof,Paarl,Overberg,6/30/2022,70.28,79.91
B5534,STEENBOKS RIVER ,Bridge,Bridge,11/20/2019,TR02901+,12.19,Theewaterskloof,Paarl,Overberg,6/30/2022,94.44,87.65
B5535,KLEIN RIVER AT GOUDINI ,Bridge,Bridge,11/18/2019,TR02901+,22.10,Theewaterskloof,Paarl,Overberg,6/30/2022,86.01,94.18
B5536,KARRINGMELKS RIVER,Bridge,Bridge,11/18/2019,TR02901+,26.41,Theewaterskloof,Paarl,Overberg,6/30/2022,92.22,97.15
B5537,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/4/2019,TR02901+,44.81,Cape Agulhas,Paarl,Overberg,6/30/2022,96.88,87.22
B5538,BRIDGE OVER KLEIN KARS RIVER,Bridge,Bridge,12/4/2019,TR02901+,45.16,Cape Agulhas,Paarl,Overberg,6/30/2022,93.04,85.58
B5539,BRIDGE OVER GROOT-SANDDRIFTRIVIER,Bridge,Bridge,12/8/2019,TR02901+,61.02,Cape Agulhas,Paarl,Overberg,6/30/2022,87.95,74.75
B5548,OLIFANTS RIVER CANAL NO 1 AT KLAWER,Bridge,Bridge,11/11/2019,MR00547+,1.10,Matzikama,West Coast,West Coast,6/30/2022,94.44,93.89
B5567,Gwaing River,Bridge,Bridge,11/18/2019,TR00209,21.81,George,Oudtshoorn,Garden Route (Eden),6/30/2022,93.08,85.00
B5571,RIVIERSONDEREND NO 1 AT DENNEBOS,Bridge,Bridge,11/25/2019,DR01320+,1.56,Theewaterskloof,Overberg,Overberg,6/30/2022,89.58,91.79
B5572,RIVIERSONDEREND NO 2 AT SANDHOOGTE,Bridge,Bridge,11/25/2019,DR01320+,8.62,Theewaterskloof,Overberg,Overberg,6/30/2022,89.63,82.90
B5575,GAMKA RIVER,Bridge,Bridge,11/20/2019,DR01661,50.47,Kannaland,,Garden Route (Eden),6/30/2022,85.49,79.32
B5576,GOURITS RIVER AT MELKHOUTFONTEIN,Bridge,Bridge,11/12/2019,DR01525,23.54,Mossel Bay,,Garden Route (Eden),6/30/2022,94.75,82.48
B5581,BRIDGE OVER KEISIES RIVER,Bridge,Bridge,10/31/2019,MR00295,72.58,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,92.40,72.94
B5582,VANGUARD INTERCHANGE NO 02,Bridge,Bridge,11/13/2019,TR00201,8.72,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,87.65,83.16
B5583,"ROAD OVER RAIL AT ADAM TAS - STELLENBOSCH
",Bridge,Bridge,11/5/2019,MR00177,31.48,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,65.74,72.14
B5584,"PLANKENBERG RIVER - STELLENBOSCH
",Bridge,Bridge,11/5/2019,MR00177,31.55,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,53.47,32.12
B5589,Palmiet River,Bridge,Bridge - Arch,11/28/2019,TR02701+,16.00,Overstrand,Kleinmond,Overberg,6/30/2022,93.75,73.71
B5591,BRIDGE OVER BUFFELS RIVER,Bridge,Bridge,11/26/2019,DR01481,6.50,Laingsburg,Central Karoo,Central Karoo,6/30/2022,98.12,96.96
B5601A,HEKS RIVER CAUSEWAY,Bridge,Bridge Cellular,12/12/2019,MR00539+,11.64,Cederberg,Ceres,West Coast,6/30/2022,92.90,76.78
B5604,Road over rail at km 11.39,Bridge,Bridge,11/4/2019,TR08101,11.39,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,100.00,100.00
B5605,ROAD OVER EISHLEBEN DRIVE,Bridge,Bridge,5/20/2020,TR08101,10.66,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,92.72,81.27
B5606,Stock road overpass,Bridge,Bridge,11/4/2019,TR08101,11.82,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,96.65,88.62
B5615,BRIDGE OVER KABOUSRIVIER AT NOOITGEDACHT,Bridge,Bridge,10/30/2019,TR03201,20.36,Langeberg,Paarl,Cape Winelands,6/30/2022,98.66,97.24
B5627,MIDDLE RIVER,Bridge,Bridge Cellular,10/30/2019,TR03201,23.46,Langeberg,Paarl,Cape Winelands,6/30/2022,91.76,79.96
B5642,Road over rail at km 12.61,Bridge,Bridge,11/18/2019,TR08101,12.61,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,95.31,79.74
B5646,Hartenbos River,Bridge,Bridge,11/6/2019,TR03302,3.66,Mossel Bay,Oudtshoorn,Garden Route (Eden),6/30/2022,90.81,42.80
B5650,BRIDGE OVER BADS RIVER - CALEDON,Bridge,Bridge,11/19/2019,TR02901+,1.06,Theewaterskloof,Caledon,Overberg,6/30/2022,66.11,76.18
B5651,BRIDGE OVER DIEP RIVER AT MILNERTON,Bridge,Bridge,11/7/2019,TR07701,8.58,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,89.87,77.07
B5654,HEX RIVER AT DE WET,Bridge,Bridge,11/7/2019,DR01423+,0.07,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,85.64,13.69
B5662,BREEDE RIVER,Bridge,Bridge,11/8/2019,MR00201+,0.10,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,97.32,97.28
